id,date,rawcontent,username,likeCount,retweetCount,replyCount,language,location
1627820372698562570,2023-02-20,"Sunset for February 20, 2023 at 05:31PM! Have a good night!",GallatinWeather,0,0,0,en,
1627820371607945217,2023-02-20,I guess our govt decided to stop playing whack-a-mole with weather balloons.,fusion_allusion,0,0,0,en,
1627820366725894144,2023-02-20,"Report at 00:00 Wind:SW at av. 0mph, max gust today 0.0mph at 13:28Temp:7.4CMax today:-100.0C at 14:27 Min today: 100.0C at 04:47 Baro:1021.1mb Falling slowlyRain Today:  0.0mm Fcst: increasing clouds with little temp change, precipitation possible within 24 to 48 hrs. https://t.co/TM2EI6nTKd",HBayWeather,0,0,0,en,Sunny Herne Bay (the UK one)
1627820355183075328,2023-02-20,I think I froze half my piercings off in this cold weather😳🥶,gymlifeanimal,197,2,37,en,On a beach somewhere 
1627820344923783171,2023-02-20,Your weather for tomorrow @denverchannel https://t.co/QPBA3Wj33F,MikeNelson247,17,1,1,en,"Denver, CO"
1627820342084268034,2023-02-20,"9 years ago today in Breckinridge, Colorado! If only we could get that weather in SC! #DogSledding https://t.co/TVJcSGX3j4",GamecockSmoke,1,0,0,en,
1627820330415972352,2023-02-20,it’s the fact that it was nice this weekend and i’m stuck going back to the gloomy rainy weather 🗿,oldnewsreused,0,0,0,en,she/her | demisexual lesbian
1627820320475451397,2023-02-20,"IND issues Zone Forecast Package (ZFP) at Feb 20, 6:58 PM EST https://t.co/4nPbpoCNl2",MidwestWeather3,0,0,0,en,United States of America 🇺🇸
1627820318654857217,2023-02-20,"Example twitter weather data  02:00 2.3 80 pct 0.0 N",gabrovo_weather,0,0,0,en,Gabrovo
1627820318227308544,2023-02-20,i just cut my hair a week ago and i feel much more refreshed (?) i loved my long hair but its hard to take care of it and the hot weather didnt help too,dgyghi,4,0,0,en,she/her | rt & rants heavy
1627820303844868097,2023-02-20,Peaceful sunset over Morse after a wonderful Monday.  @LindseyEatoNews @angelaganote @AHardwickWx @BrianWilkes59wx @JimOBrienWX https://t.co/DxlT6yRKpO,MorseLakeWeathe,23,0,2,en,Hamilton County Indiana
1627820286652346368,2023-02-20,5520 Weather at 23:59  UV:0.0 Temp:7.6c Max gust in last 60 minutes was: 8.1mph  &amp; Rain:0.0,darkearth,0,0,0,en,England
1627820274253963265,2023-02-20,Daily rain report for my station at 11:59 pm: Daily Rain: 0.0. Max rain rate: 0.0 at N/A,liverpoolweath,0,0,0,en,"Liverpool, England"
1627820257405505541,2023-02-20,Good Morning! Cloudy today! With a high of 29 C and a low of 23 C - That's daily weather updates from https://t.co/Wf0w9jrpra,kumagcow,0,0,0,en,"Quezon City, National Capital "
1627820248442232833,2023-02-20,"It's February 20, 2023 at 05:59PM and here's what the weather looks like right now in Thompson's Station, Tennessee. https://t.co/at0PIk8lD9",ThompsonsStnCam,0,0,0,en,"Thompson's Station, TN"
1627820241089622019,2023-02-20,"“The weather in her eyes seemed to say so much more than I could understand, other than ‘I dare you not to see the fire in me.’”",OLearySW,1,0,0,en,"Charleston, WV"
1627820236056453120,2023-02-20,Daily rain report for my station at 11:59 pm: Daily Rain: 0.0. Max rain rate: 0.0 at N/A,WeatherCatTest,0,0,0,en,
1627820219027578881,2023-02-20,"Radar February 20, 2023 at 07:59PM #PuertoRico #weather https://t.co/NiTIVEByQq",VegaBajaWx,0,0,0,en,Vega Baja Puerto Rico
1627820212732010502,2023-02-20,"Your rooftop solar sits outside in all kinds of weather giving you cheaper electricity. To ensure it’s running safely, have it serviced every two years by a licensed electrician. Visit: https://t.co/3XwqcohV0a  #showyoursolarsomelove @SolarVictoriaAU https://t.co/M3ERjmzYbq",EnergySafeVic,3,1,0,en,"Victoria, Australia"
1627820184324001792,2023-02-20,"Winds increase late Tuesday with gusts to 40 possible into Wednesday. 
Severe weather chances return early Wednesday morning. 

📲 @KTENweather  app
📺 @KTENnews  at 6 &amp; 10 
#okwx #txwx https://t.co/XamNXfvCoD",MandyBaileyWX,10,3,0,en,Philippians 3:7-8
1627820165579608065,2023-02-20,"#Clevedon #Somerset 23:59, 8.7 (Hi12.1/Lo8.0), Wind W 3.2, Max 20.0 @ 01:37, Baro 1021.5 Steady, Rain   0.0mm This month 4.2mm",ClevedonWeather,0,0,0,en,"Clevedon, Somerset, UK"
1627820160005423104,2023-02-20,"Daily rain report:
Daily Rain: 0.0mm
Max rain rate: 0.0mm/h at N/A
#Rochester #Weather
https://t.co/7PUnHzjsBU",rochesterweath,0,0,0,en,"Rochester, Kent, UK"
1627820158130565121,2023-02-20,"Temp: 7.9C Wind: 0.7 mph, Max Daily Gust: 15.0 mph. DewPoint: 6.0C Bar: 1005.0 mb. Rain: 0.00 in. Humidity: 88% #Maidstone",ME17Weather,0,0,0,en,ME15
1627820154036928514,2023-02-20,"#Clevedon #Somerset 23:59, 8.7 (Hi12.1/Lo8.0), Wind W 3.2, Max 19.6 @ 11:31, Baro 1021.7 Steady, Rain   0.0mm This month 4.2mm",ClevedonWeather,0,0,0,en,"Clevedon, Somerset, UK"
